,State Cleanup Site #,Name,Address,City,ZIP,County,Status,Media Name,Contaminant,Chemical,SNO
1055,199811022,Viking Inc.,2740 E Business,Columbia City,46725,Whitley,Inactive,Soil,Petroleum,Petroleum Products,101
1056,199811026,Brown County Solid Waste District,711 Greasy Creek Rd,NASHVILLE,47448,Brown,NFA,Soil,Petroleum,Petroleum Products,252
1057,199811030,SBC - Flat Rock,2590 West Sr 252,Flat Rock,47324,Shelby,NFA,Soil,Petroleum,Petroleum Products,729
1058,199811055,Mulzer Crushed Stone,Rockport Yard 411 Washington S,ROCKPORT,47635,Spencer,Inactive,Soil,Petroleum,Petroleum Products,283
1061,199811511,Dyer Construction Company Inc.,1716 Sheffield Ave.,Dyer,46311,Lake,REF,Groundwater,Petroleum,Petroleum Products,116
1067,199812075,Van Buren Elementary,4045 S Sr 135,NASHVILLE,47448,Brown,NFA,Soil,Petroleum,Petroleum Products,252
1075,199812127,CTP Metals,1401 S Harding St,Indianapolis,46221,Marion,NFA,Soil,Petroleum,Petroleum,81
1078,199812161,Warehouse Services LLC,Old Hwy 62 East,Mount Vernon,47620,Posey,NFA,Soil,Lead,Lead,174
1087,199901164,Spill Number 9901164,2700 S Belmont,Indianapolis,46221,Marion,NFA,Soil,Petroleum,Petroleum Products,81
1109,199906094,City of Elkhart,1602 Arch St,Elkhart,46516,Elkhart,NFA,Soil,Petroleum,Petroleum Products,51
1111,199906155,Richard Bennett Furniture,1285 E. Main,DANVILLE,46122,Hendricks,NFA,Surface water,Petroleum,Benzene,152
1114,199906201,SJM Partnership,200 N Thomas Rd,FORT WAYNE,46808,Allen,NFA,Soil,Petroleum,Kerosene,128
1120,199907020,Williams Pipeline Terminal,Ellis & State Line Road,Union City,47390,Randolph,NFA,Soil,Petroleum,Petroleum Products,301
1122,199907108,Logansport State Hospital,1098 State Rd. 25,LOGANSPORT,46947,Cass,REF,Groundwater,Petroleum,Benzene,71
1123,199907108,Logansport State Hospital,1098 State Rd. 25,LOGANSPORT,46947,Cass,REF,Groundwater,Petroleum,Tert-butyl methyl ether,71
1126,199908022,BP/Amoco Pipeline,"Sheek Road, Woodgate Lot 7",GREENWOOD,46142,Johnson,REF,Soil,Petroleum,Benzene,61
