County,Chemical,Total Transfers,Total Releases
DUBOIS,Toluene,0.0,36618.11
DUBOIS,Xylene (mixed isomers),0.0,86024.16
ELKHART,"1,2,4-Trimethylbenzene",0.0,6585.95
ELKHART,Certain glycol ethers,139.0,32863.43
ELKHART,Chromium,18.465,128083.498
ELKHART,Copper,104.85000000000001,8964.396
ELKHART,Diisocyanates,0.0,15.54
ELKHART,Ethylbenzene,0.0,13009.2
ELKHART,Ethylene glycol,0.0,0.0
ELKHART,Lead,27.603,117.047
ELKHART,Lead  And Lead Compounds,0.0,0.0
ELKHART,Lead compounds,6.29,242.29
ELKHART,Manganese,0.0,56950.494999999995
ELKHART,Methanol,0.0,25389.0
ELKHART,Naphthalene,0.0,70.05
ELKHART,Nickel,41.886,11461.507000000001
ELKHART,Nitrate compounds (water dissociable; reportable only when in aqueous solution),140762.2,14076.2
ELKHART,Nitric acid,0.0,1504.04
ELKHART,Styrene,0.0,870957.1799999999
ELKHART,Toluene,0.0,134466.0
ELKHART,Xylene (mixed isomers),0.0,117135.45999999999
ELKHART,Zinc compounds,52.0,646173.28
ELKHART,n-Hexane,0.0,8118.0
FAYETTE,"1,2,4-Trimethylbenzene",0.0,1046.0
FAYETTE,Certain glycol ethers,0.0,2526.0
FAYETTE,Ethylbenzene,0.0,1550.0
FAYETTE,Lead,0.0,0.04
FAYETTE,Lead compounds,0.0,16290.36
FAYETTE,Methanol,0.0,2234.0
FAYETTE,Naphthalene,0.0,256.95
FAYETTE,Nickel,0.0,56.1
FAYETTE,Styrene,0.0,314.0
FAYETTE,Toluene,0.0,2962.0
FAYETTE,Xylene (mixed isomers),0.0,8676.0
FAYETTE,n-Hexane,0.0,103.83
FLOYD,Copper,133.7,144.4
FLOYD,Lead,2.7,6.3
FLOYD,Lead  And Lead Compounds,0.0,0.08
FLOYD,Manganese compounds,0.0,1.36
FLOYD,Nickel,82.3,99.0
FLOYD,Nitrate compounds (water dissociable; reportable only when in aqueous solution),74766.0,7736.6
FLOYD,Nitric acid,5.0,105.0
FLOYD,Zinc compounds,0.0,0.0
FOUNTAIN,Chromium,5.0,11190.01
FOUNTAIN,Diisocyanates,0.0,15.6
FOUNTAIN,Ethylbenzene,0.0,8082.0
FOUNTAIN,Lead,5.0,439.461
FOUNTAIN,Lead  And Lead Compounds,0.274,866.091
FOUNTAIN,Lead compounds,11.5,11.5
FOUNTAIN,Manganese,5.0,10365.18
FOUNTAIN,Naphthalene,0.0,19461.55
FOUNTAIN,Nickel,5.0,8987.0
FOUNTAIN,Toluene,0.0,5292.4
FOUNTAIN,Xylene (mixed isomers),0.0,61928.0
FOUNTAIN,Zinc compounds,19.6,53.7
FRANKLIN,Ethylene glycol,0.0,213.0
FRANKLIN,Lead compounds,0.0,78.08
FRANKLIN,Polycyclic aromatic compounds,0.0,69.472
FULTON,Copper,0.0,11818.17
FULTON,Diisocyanates,0.0,32.64
FULTON,Lead,0.0,70.27
FULTON,Manganese,0.0,4946.11
FULTON,Styrene,0.0,101481.61
GIBSON,"1,2,4-Trimethylbenzene",0.0,62661.0
GIBSON,Ammonia,0.0,3200.0
GIBSON,Certain glycol ethers,0.0,5849.0
GIBSON,Chromium,9.0,568.0
GIBSON,Copper,0.0,0.844
GIBSON,Diisocyanates,0.0,400.975
GIBSON,Ethylbenzene,0.0,3221.0
GIBSON,Ethylene glycol,0.0,65.0
GIBSON,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,160000.0
GIBSON,Lead,0.0,0.05
GIBSON,Lead  And Lead Compounds,0.0,110162.6
GIBSON,Lead compounds,20.0,964.2
GIBSON,Manganese compounds,87.0,697.0
GIBSON,Methanol,0.0,15701.0
GIBSON,Naphthalene,0.0,1256.0
GIBSON,Nitrate compounds (water dissociable; reportable only when in aqueous solution),98713.0,12995.3
GIBSON,Nitric acid,172061.0,0.0
GIBSON,Polycyclic aromatic compounds,0.0,6.5
GIBSON,Toluene,0.0,4321.0
GIBSON,Xylene (mixed isomers),0.0,17754.0
GIBSON,Zinc compounds,185.0,397383.0
GRANT,Ammonia,0.0,0.0
GRANT,Chromium,0.0,33.5
GRANT,Copper,6.95,39.95
GRANT,Diisocyanates,0.0,0.0
GRANT,Ethylbenzene,0.0,3485.462
GRANT,Ethylene glycol,0.0,590.961
GRANT,Lead,0.0,116.77
GRANT,Lead compounds,0.94,5203.18
GRANT,Manganese,0.0,449.06
GRANT,Methanol,0.0,7893.174
GRANT,Nickel,0.0,28.380000000000003
GRANT,Toluene,0.0,44206.09
GRANT,Xylene (mixed isomers),0.0,22625.637
GRANT,Zinc compounds,26.26,6315.26
GREENE,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,8291.0
HAMILTON,"1,2,4-Trimethylbenzene",0.0,48.0
HAMILTON,Certain glycol ethers,0.0,0.0
HAMILTON,Chromium,0.0,13.0
HAMILTON,Diisocyanates,0.0,0.0
HAMILTON,Ethylbenzene,0.0,58.0
HAMILTON,Ethylene glycol,0.0,0.0
HAMILTON,Lead,0.05,50.05
HAMILTON,Lead  And Lead Compounds,0.0,0.026
HAMILTON,Manganese,0.0,280.0
HAMILTON,Methanol,0.0,0.0
HAMILTON,Naphthalene,0.0,0.0
HAMILTON,Nickel,0.0,6.0
HAMILTON,Nitric acid,0.0,0.0
HAMILTON,Styrene,0.0,17337.0
HAMILTON,Toluene,0.0,385.0
HAMILTON,Xylene (mixed isomers),0.0,232.0
HAMILTON,Zinc compounds,5.0,4804.99
HAMILTON,n-Hexane,0.0,627.0
HANCOCK,"1,2,4-Trimethylbenzene",0.0,1516.0
HANCOCK,Certain glycol ethers,0.0,7335.0
HANCOCK,Chromium,0.0,79461.13
HANCOCK,Copper,0.55,112.65
HANCOCK,Lead,0.44,1.1019999999999999
HANCOCK,Naphthalene,0.0,752.0
HANCOCK,Nickel,1.16,64463.43
HANCOCK,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,0.0
HANCOCK,Nitric acid,0.0,0.0
HANCOCK,Styrene,0.0,257590.0
HANCOCK,Toluene,0.0,472.0
HANCOCK,Xylene (mixed isomers),0.0,1041.0
HANCOCK,Zinc compounds,5.0,5.0
HARRISON,"1,2,4-Trimethylbenzene",0.0,43.0
HENDRICKS,Ammonia,0.0,0.0
HENDRICKS,Chromium,0.0,87.547
HENDRICKS,Lead,0.0,2.821
HENDRICKS,Lead compounds,6.39,1098.016
HENDRICKS,Manganese,0.0,768.173
HENDRICKS,Manganese compounds,0.0,6157.0
HENDRICKS,Nitric acid,0.0,0.0
HENDRICKS,Toluene,0.0,0.0
HENDRICKS,Zinc compounds,132.0,37125.0
HENRY,Ammonia,0.0,0.0
HENRY,Chromium,28.0,5518.0
HENRY,Copper,0.0,2026.71
HENRY,Diisocyanates,0.0,2.58
HENRY,Lead,0.0,2806.01
HENRY,Manganese,1.0,654.0
HENRY,Nickel,24.0,6756.0
HENRY,Nitrate compounds (water dissociable; reportable only when in aqueous solution),7448.0,744.8
HENRY,Nitric acid,0.0,1.0
HOWARD,Ammonia,0.0,3059.8199999999997
HOWARD,Chromium,0.56,1288.72
HOWARD,Copper,23.96,5747.700000000001
HOWARD,Lead,10.767999999999999,223.75799999999998
HOWARD,Manganese,6.0,1693.94
HOWARD,Nickel,79.58800000000001,14605.714
HOWARD,Nitric acid,0.0,416.1
HUNTINGTON,"1,2,4-Trimethylbenzene",0.0,0.0
HUNTINGTON,Ammonia,0.0,0.0
HUNTINGTON,Certain glycol ethers,89.7,16.2
HUNTINGTON,Copper,0.0,924.865
HUNTINGTON,Ethylbenzene,0.0,222.0
HUNTINGTON,Lead,0.0,3.07
HUNTINGTON,Lead  And Lead Compounds,0.0,8.784
HUNTINGTON,Lead compounds,0.09,0.122
HUNTINGTON,Manganese,2.0,29.0
HUNTINGTON,Manganese compounds,0.0,0.0
HUNTINGTON,Naphthalene,0.0,0.0
HUNTINGTON,Nickel,0.2,10.2
HUNTINGTON,Nitrate compounds (water dissociable; reportable only when in aqueous solution),57292.0,5729.2
HUNTINGTON,Nitric acid,0.0,10.0
HUNTINGTON,Styrene,0.0,36181.58
HUNTINGTON,Toluene,0.0,740.0
HUNTINGTON,Xylene (mixed isomers),0.0,222.0
HUNTINGTON,n-Hexane,0.0,124.0
JACKSON,Ammonia,0.0,1250.0
JACKSON,Certain glycol ethers,0.0,787.09
JACKSON,Chromium,1.35,10.546999999999999
JACKSON,Copper,1.57,3873167.34
JACKSON,Diisocyanates,0.0,0.0
JACKSON,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,3347.0
JACKSON,Lead,0.0,0.0
JACKSON,Manganese,9.0,4313.710999999999
JACKSON,Methanol,0.0,1166.25
JACKSON,Nickel,3.13,5.28
JACKSON,Nitrate compounds (water dissociable; reportable only when in aqueous solution),10085.0,5154.5
JACKSON,Toluene,0.0,10506.74
JACKSON,Zinc compounds,20.33,10300.33
JACKSON,n-Hexane,0.0,129982.25
JASPER,Chromium,0.0,0.067
JASPER,Copper,0.0,0.0
JASPER,Ethylbenzene,0.0,0.0
JASPER,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,51137.0
JASPER,Lead,0.0,0.049
JASPER,Lead compounds,0.0,31463.506
JASPER,Manganese,0.0,21.3
JASPER,Manganese compounds,0.0,79402.0
JASPER,Methanol,0.0,1289.0
JASPER,Nickel,0.0,0.67
JASPER,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,0.0
JASPER,Nitric acid,0.0,0.0
JASPER,Toluene,0.0,0.0
JASPER,Xylene (mixed isomers),0.0,0.0
JASPER,Zinc compounds,0.0,114637.78
JASPER,n-Hexane,0.0,3196.0
JAY,Chromium,5.0,10.0
JAY,Copper,0.129,144.299
JAY,Lead,0.001,2.532
JAY,Lead  And Lead Compounds,0.0,374.328
JAY,Manganese,9.0,19.0
JAY,Nickel,5.0,11.0
JAY,n-Hexane,0.0,4330.0
JEFFERSON,"1,2,4-Trimethylbenzene",0.0,5688.0
JEFFERSON,Certain glycol ethers,0.0,41808.33
JEFFERSON,Chromium,0.3,555.41
JEFFERSON,Copper,1.47,784.33
JEFFERSON,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,101297.0
JEFFERSON,Lead,0.0,7.7
JEFFERSON,Lead  And Lead Compounds,0.0,17320.0
JEFFERSON,Manganese,2.32,343.6
JEFFERSON,Manganese compounds,0.0,1016.68
JEFFERSON,Nickel,0.29,26.82
JEFFERSON,Nitric acid,0.0,0.0
JEFFERSON,Polycyclic aromatic compounds,0.0,3.0
JEFFERSON,Zinc compounds,0.0,43680.0
JENNINGS,Certain glycol ethers,0.0,13110.01
JENNINGS,Chromium,0.0,0.0
JENNINGS,Copper,2.75,4319.26
JENNINGS,Ethylene glycol,0.0,0.0
JENNINGS,Lead,0.0,0.0
JENNINGS,Lead compounds,0.0,76.93
JENNINGS,Manganese,0.0,0.0
JENNINGS,Polycyclic aromatic compounds,0.0,0.12
JENNINGS,Styrene,0.0,7183.16
JOHNSON,"1,2,4-Trimethylbenzene",0.0,3761.0
JOHNSON,Certain glycol ethers,0.0,146.0
JOHNSON,Chromium,0.004,5529.004
JOHNSON,Copper,0.0,352.0
JOHNSON,Diisocyanates,0.0,16898.033
JOHNSON,Ethylbenzene,0.0,657.0
JOHNSON,Ethylene glycol,0.0,289.9
JOHNSON,Lead  And Lead Compounds,0.0,1033.42
JOHNSON,Manganese,0.0,2683.0
JOHNSON,Nickel,0.01,7108.01
JOHNSON,Nitrate compounds (water dissociable; reportable only when in aqueous solution),12517.0,12517.0
JOHNSON,Nitric acid,2.0,3.76
JOHNSON,Polycyclic aromatic compounds,0.0,5.5
JOHNSON,Xylene (mixed isomers),0.0,2627.0
KNOX,Ammonia,0.0,225408.0
KNOX,Copper,0.0,88250.4
KNOX,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,778.0
KNOX,Lead,0.0,253.65
KNOX,Lead  And Lead Compounds,0.0,27555.41
KNOX,Manganese,0.0,92768.54599999999
KNOX,Polycyclic aromatic compounds,0.0,0.5
KNOX,Zinc compounds,0.0,91515.0
KOSCIUSKO,Certain glycol ethers,0.0,0.0
KOSCIUSKO,Chromium,11.397,119.63300000000001
KOSCIUSKO,Copper,4.27,2349.407
KOSCIUSKO,Diisocyanates,0.0,15.0
KOSCIUSKO,Lead,2.19,40.661
KOSCIUSKO,Manganese,0.241,12.239
KOSCIUSKO,Manganese compounds,0.3,1766.01
KOSCIUSKO,Methanol,0.0,5634.0
KOSCIUSKO,Nickel,60.108999999999995,246.67399999999998
KOSCIUSKO,Nitrate compounds (water dissociable; reportable only when in aqueous solution),56959.0,5443.5
KOSCIUSKO,Nitric acid,12301.0,14755.0
KOSCIUSKO,Styrene,0.0,264186.0
KOSCIUSKO,Toluene,0.0,76095.0
KOSCIUSKO,Xylene (mixed isomers),0.0,6.0
KOSCIUSKO,Zinc compounds,0.0,38.0
KOSCIUSKO,n-Hexane,0.0,706032.0
LAGRANGE,Certain glycol ethers,0.0,674.74
LAGRANGE,Chromium,0.0,251.0
LAGRANGE,Copper,0.0,0.0
LAGRANGE,Diisocyanates,0.0,0.0
LAGRANGE,Lead,0.0,8.0
LAGRANGE,Manganese,0.0,58.0
LAGRANGE,Nickel,0.0,26.0
LAGRANGE,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,24928.0
LAGRANGE,Nitric acid,0.0,1.0
LAGRANGE,Toluene,0.0,891.93
LAGRANGE,Zinc compounds,3.47,5351.48
LAKE,"1,2,4-Trimethylbenzene",0.0,20157.98
LAKE,Ammonia,928.0,521049.2
LAKE,Certain glycol ethers,0.0,9094.253
LAKE,Chromium,1.2,111252.2
LAKE,Copper,0.0,0.0
LAKE,Diisocyanates,0.0,48304.0
LAKE,Ethylbenzene,0.0,20687.0
LAKE,Ethylene glycol,0.0,1075178.71
LAKE,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,235235.09999999998
