County,Chemical,Total Transfers,Total Releases
Johnson,Certain glycol ethers,0.0,146.0
Johnson,Chromium,0.004,5529.004
Johnson,Copper,0.0,352.0
Johnson,Diisocyanates,0.0,16898.033
Johnson,Ethylbenzene,0.0,657.0
Johnson,Ethylene glycol,0.0,289.9
Johnson,Lead  And Lead Compounds,0.0,1033.42
Johnson,Manganese,0.0,2683.0
Johnson,Nickel,0.01,7108.01
Johnson,Nitrate compounds (water dissociable; reportable only when in aqueous solution),12517.0,12517.0
Johnson,Nitric acid,2.0,3.76
Johnson,Polycyclic aromatic compounds,0.0,5.5
Johnson,Xylene (mixed isomers),0.0,2627.0
Knox,Ammonia,0.0,225408.0
Knox,Copper,0.0,88250.4
Knox,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,778.0
Knox,Lead,0.0,253.65
Knox,Lead  And Lead Compounds,0.0,27555.41
Knox,Manganese,0.0,92768.54599999999
Knox,Polycyclic aromatic compounds,0.0,0.5
Knox,Zinc compounds,0.0,91515.0
Kosciusko,Certain glycol ethers,0.0,0.0
Kosciusko,Chromium,11.397,119.63300000000001
Kosciusko,Copper,4.27,2349.407
Kosciusko,Diisocyanates,0.0,15.0
Kosciusko,Lead,2.19,40.661
Kosciusko,Manganese,0.241,12.239
Kosciusko,Manganese compounds,0.3,1766.01
Kosciusko,Methanol,0.0,5634.0
Kosciusko,Nickel,60.108999999999995,246.67399999999998
Kosciusko,Nitrate compounds (water dissociable; reportable only when in aqueous solution),56959.0,5443.5
Kosciusko,Nitric acid,12301.0,14755.0
Kosciusko,Styrene,0.0,264186.0
Kosciusko,Toluene,0.0,76095.0
Kosciusko,Xylene (mixed isomers),0.0,6.0
Kosciusko,Zinc compounds,0.0,38.0
Kosciusko,n-Hexane,0.0,706032.0
LaGrange,Certain glycol ethers,0.0,674.74
LaGrange,Chromium,0.0,251.0
LaGrange,Copper,0.0,0.0
LaGrange,Diisocyanates,0.0,0.0
LaGrange,Lead,0.0,8.0
LaGrange,Manganese,0.0,58.0
LaGrange,Nickel,0.0,26.0
LaGrange,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,24928.0
LaGrange,Nitric acid,0.0,1.0
LaGrange,Toluene,0.0,891.93
LaGrange,Zinc compounds,3.47,5351.48
Lake,"1,2,4-Trimethylbenzene",0.0,20157.98
Lake,Ammonia,928.0,521049.2
Lake,Certain glycol ethers,0.0,9094.253
Lake,Chromium,1.2,111252.2
Lake,Copper,0.0,0.0
Lake,Diisocyanates,0.0,48304.0
Lake,Ethylbenzene,0.0,20687.0
Lake,Ethylene glycol,0.0,1075178.71
Lake,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,235235.09999999998
Lake,Lead,0.0,7535.400000000001
Lake,Lead  And Lead Compounds,145.853,502076.123
Lake,Lead compounds,3.62,394.48
Lake,Manganese,0.0,12242.3
Lake,Manganese compounds,0.0,754.23
Lake,Methanol,12593.0,19010.84
Lake,Naphthalene,0.0,11328.022
Lake,Nickel,0.0,1.0
Lake,Nitrate compounds (water dissociable; reportable only when in aqueous solution),24102.0,1459488.24
Lake,Nitric acid,0.0,93.9
Lake,Polycyclic aromatic compounds,0.0,6718.422
Lake,Styrene,0.0,15075.0
Lake,Toluene,0.0,105784.50899999999
Lake,Xylene (mixed isomers),767.0,106895.816
Lake,Zinc compounds,71.77,7703858.57
Lake,n-Hexane,0.0,140515.092
LaPorte,"1,2,4-Trimethylbenzene",0.0,12333.0
LaPorte,Ammonia,0.0,2597.42
LaPorte,Certain glycol ethers,0.0,14378.0
LaPorte,Chromium,36.26,467.466
LaPorte,Copper,1.33,229.47
LaPorte,Diisocyanates,0.0,0.0
LaPorte,Ethylene glycol,0.0,0.0
LaPorte,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,191.0
LaPorte,Lead,0.0,0.0
LaPorte,Lead compounds,0.0,10234.871
LaPorte,Manganese,0.0,1806.34
LaPorte,Manganese compounds,0.0,25895.0
LaPorte,Methanol,0.0,44805.0
LaPorte,Nickel,59.0,624.4
LaPorte,Nitrate compounds (water dissociable; reportable only when in aqueous solution),12490.0,1249.0
LaPorte,Nitric acid,0.0,457.007
LaPorte,Polycyclic aromatic compounds,0.0,5542.153
LaPorte,Xylene (mixed isomers),0.0,6088.0
LaPorte,Zinc compounds,67.0,38279.006
LaPorte,n-Hexane,0.0,0.0
Lawrence,Ammonia,0.0,12993.0
Lawrence,Copper,0.0,350.31
Lawrence,Lead,0.0,61.369
Lawrence,Lead  And Lead Compounds,0.0,413.0
Lawrence,Manganese compounds,0.0,1004.0
Lawrence,Nickel,0.0,13.0
Madison,Ammonia,0.0,0.0
Madison,Chromium,0.0,4.9
Madison,Copper,4.28,4.56
Madison,Lead compounds,0.0,275.65
Madison,Manganese,0.0,0.28
Madison,Nickel,0.0,0.28
Madison,Nitrate compounds (water dissociable; reportable only when in aqueous solution),7060.0,2.2
Madison,Nitric acid,0.0,505.0
Madison,Toluene,0.0,705.0
Madison,Zinc compounds,0.0,0.0
Madison,n-Hexane,0.0,3512.0
Marion,"1,2,4-Trimethylbenzene",0.0,216.0
Marion,Ammonia,20095.73,22111.0
Marion,Certain glycol ethers,1563.509,2709.749
Marion,Chromium,49.65,701183.9
Marion,Copper,52.22,837027.63
Marion,Diisocyanates,0.0,13456.12
Marion,Ethylbenzene,1.0,768.0
Marion,Ethylene glycol,0.0,560.0
Marion,Lead,5.6,766481.512
Marion,Lead  And Lead Compounds,84.75,1681259.25
Marion,Lead compounds,9.5,9.513
Marion,Manganese,110.68,117603.48
Marion,Manganese compounds,5.0,25.0
Marion,Methanol,39134.0,8850.72
Marion,Naphthalene,0.0,165.0
Marion,Nickel,77.95,1397076.1099999999
Marion,Nitrate compounds (water dissociable; reportable only when in aqueous solution),125884.14,41738.54
Marion,Nitric acid,203997.29,667.442
Marion,Polycyclic aromatic compounds,0.0,332.775
Marion,Styrene,993.0,6128.95
Marion,Toluene,32.0,39866.08
Marion,Xylene (mixed isomers),488.0,35406.19
Marion,Zinc compounds,72.844,936720.4
Marion,n-Hexane,0.0,8409.0
Marshall,Certain glycol ethers,0.0,5371.0
Marshall,Chromium,0.0,0.0
Marshall,Copper,72.0,7590.0
Marshall,Diisocyanates,0.0,36305.2
Marshall,Ethylbenzene,0.0,8046.0
Marshall,Lead,0.0,8.052
Marshall,Lead  And Lead Compounds,0.213,1793.093
Marshall,Manganese,0.0,250.0
Marshall,Nickel,0.0,0.0
Marshall,Nitrate compounds (water dissociable; reportable only when in aqueous solution),31201.0,3120.1
Marshall,Nitric acid,5750.0,0.0
Marshall,Polycyclic aromatic compounds,0.0,35.0
Marshall,Styrene,0.0,1006091.1699999999
Marshall,Toluene,0.0,32738.705
Marshall,Xylene (mixed isomers),0.0,50117.44
Marshall,Zinc compounds,282.0,14389.66
Martin,Ammonia,0.0,24.942
Martin,Lead  And Lead Compounds,0.0,2535.02
Martin,Lead compounds,0.0,58.35
Miami,Naphthalene,0.0,0.0
Miami,Xylene (mixed isomers),0.0,13.0
Monroe,Ethylene glycol,0.0,0.0
Monroe,Nitric acid,0.0,10.0
Montgomery,Ammonia,2.0,0.8
Montgomery,Certain glycol ethers,0.0,6277.0
Montgomery,Copper,2.23,5.509
Montgomery,Ethylbenzene,0.0,3921.0
Montgomery,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,12287.62
Montgomery,Lead,7.69,750.01
Montgomery,Lead  And Lead Compounds,0.0,3489.922
Montgomery,Manganese,0.0,0.0
Montgomery,Methanol,0.0,2194.67
Montgomery,Naphthalene,0.0,2024.0
Montgomery,Nitric acid,0.0,365.0
Montgomery,Xylene (mixed isomers),0.0,19572.0
Montgomery,Zinc compounds,0.0,635916.62
Montgomery,n-Hexane,0.0,7066.0
Morgan,Certain glycol ethers,59353.0,5198.0
Morgan,Ethylene glycol,0.0,490.0
Morgan,Lead compounds,0.0,1.0
Morgan,Manganese,19.0,105.13
Morgan,Nickel,5.6,44.6
Noble,"1,2,4-Trimethylbenzene",0.0,27399.48
Noble,Certain glycol ethers,0.0,20834.0
Noble,Chromium,0.4,786.5999999999999
Noble,Copper,10.74,46168.04
Noble,Diisocyanates,0.0,0.0
Noble,Lead,6.3999999999999995,31.631
Noble,Manganese,1.71,533.21
Noble,Methanol,0.0,35593.2
Noble,Nickel,1.71,1078.92
Noble,Styrene,0.0,212654.0
Noble,Toluene,0.0,947.0
