County,Chemical,Total Transfers,Total Releases,Length of Life Z-Score,Length of Life Rank,Quality of Life Z-Score,Quality of Life Rank,Health Behaviors Z-Score,Health Behaviors Rank,Clinical Care Z-Score,Clinical Care Rank,Social and Economica Factors Z-Score,Social and Economic Factors Rank,Physical Environment Z-Score,Physical Environment Rank,Deaths,Years of Potential Life Lost
Carroll,Ammonia,0.0,4124.0,-0.720529119,4,-0.307447813,16,0.0431032976,51,0.0012328348,46,-0.143551091,24,0.0043571203,54,239,6177.9242733
Carroll,Certain glycol ethers,0.0,0.0,-0.720529119,4,-0.307447813,16,0.0431032976,51,0.0012328348,46,-0.143551091,24,0.0043571203,54,239,6177.9242733
Cass,Ammonia,63203.0,53820.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Chromium,15.2,688.2,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Copper,0.0,259.28,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Ethylbenzene,0.0,119.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Ethylene glycol,0.0,0.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,"Hydrochloric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",0.0,24951.12,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Lead,0.0,19.97,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Lead compounds,0.0,33893.968,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Manganese compounds,0.0,5269119.8,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Methanol,0.0,1608.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Naphthalene,0.0,31.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Nitrate compounds (water dissociable; reportable only when in aqueous solution),91521.0,49866.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Nitric acid,0.0,5.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Polycyclic aromatic compounds,0.0,0.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Styrene,0.0,57.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Toluene,0.0,471.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Xylene (mixed isomers),0.0,483.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,Zinc compounds,57.58,3769846.28,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Cass,n-Hexane,0.0,6200.0,0.2008533334,62,0.2591989997,70,0.0720114814,59,0.0404259376,59,0.206849276,74,-0.02473298,23,602,9430.9055071
Clark,"1,2,4-Trimethylbenzene",0.0,1122.0,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Ammonia,0.0,4252.969999999999,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
Clark,Certain glycol ethers,0.0,346.0,0.3682533458,73,0.2599955119,71,-0.072032157,24,0.0085600707,47,-0.023643388,47,-0.068678588,4,2112,10021.918607
