FIPS,State,County,Length of Life Z-Score,Length of Life Rank,Quality of Life Z-Score,Quality of Life Rank,Health Behaviors Z-Score,Health Behaviors Rank,Clinical Care Z-Score,Clinical Care Rank,Social and Economica Factors Z-Score,Social and Economic Factors Rank,Physical Environment Z-Score,Physical Environment Rank
18157,Indiana,Tippecanoe,-0.666991592,8,-0.221825508,25,-0.166114264,12,-0.090029734,20,-0.124821071,28,-0.018079617,32
18159,Indiana,Tipton,-0.165429782,36,-0.2398026,22,-0.14734223,16,-0.135526144,10,-0.194620924,18,-0.032480284,17
18161,Indiana,Union,0.1828092401,60,-0.346961653,14,-0.134382247,18,0.1884358763,88,0.0021613306,51,0.0268838364,72
18163,Indiana,Vanderburgh,0.2307536534,65,0.4855907801,84,0.0325857612,47,-0.146607337,7,0.0849373765,62,0.0041650008,53
18165,Indiana,Vermillion,0.2579435049,66,0.2172101803,65,0.1058742005,68,0.1492498808,84,0.1190498961,67,-0.011383806,42
18167,Indiana,Vigo,0.1404665467,58,0.2332529826,66,0.1025475674,66,0.0519482715,63,0.2801200062,78,0.0501795966,86
18169,Indiana,Wabash,0.0167531698,48,0.1631454044,61,0.0594673288,55,-0.038897187,32,-0.019983628,49,-0.018036235,33
18171,Indiana,Warren,-0.525623703,17,-0.681263409,4,-0.069521754,25,0.0133310593,51,-0.260019928,13,-0.038578577,11
18173,Indiana,Warrick,-0.508944372,18,-0.612044233,6,-0.185128275,11,-0.218113569,3,-0.434146672,5,0.0415813499,81
18175,Indiana,Washington,0.4017389313,75,0.2018641292,64,0.1269760329,71,0.0147313464,53,0.1598946993,70,0.0473620389,85
18177,Indiana,Wayne,1.0759130361,90,0.4287170341,82,0.1403683285,75,0.0143551819,52,0.332872862,82,-0.021564075,26
18179,Indiana,Wells,-0.218385285,31,-0.176033289,30,-0.042453075,30,-0.039468978,31,-0.335785433,7,-0.013661684,37
18181,Indiana,White,0.1871924137,61,-0.137304424,33,-0.030607188,37,-0.057367316,27,-0.111895547,31,-0.050155332,7
18183,Indiana,Whitley,-0.601636481,11,-0.29636269,17,-0.154967609,15,-0.031681599,36,-0.326124892,9,-0.038406543,12
